MHK,AMW
GJT,ACT
AMA,ACT
PHX,ACT
BDL,ACT
OAK,ACT
MSY,ACT
LAX,ACT
BOS,ACT
LAS,ACT
BWI,ACT
LGA,ACT
COS,ACT
AEX,ACT
GSO,ACT
DTW,ACT
ORD,ACT
PHL,ACT
JAX,ACT
PBI,ACT
SEA,ACT
DAL,ACT
BGR,CNW
MIA,ACT
TYS,ACT
FWA,ACT
GSP,ACT
MGM,ACT
BHM,ACT
MBS,ACT
RDU,ACT
SAV,ACT
BGR,ACT
EWR,ACT
ADS,CNW
IND,ACT
HSV,ACT
CVG,ACT
STL,ACT
MKE,ACT
OMA,ACT
RNO,ACT
TUS,ACT
SJC,ACT
PDX,ACT
FLG,ACT
CLT,ACT
SAN,ACT
MHK,ACT
GRR,ACT
LAX,CNW
ILN,CNW
SPS,ACT
EFD,ACT
FOE,ACT
AFW,ACT
CNW,ACT
DAY,ACT
SWO,ACT
MCI,ACT
XNA,ACT
SKF,ACT
DSM,ACT
BNA,ACT
SFO,ACT
CSG,ACT
COU,ACT
GPT,ACT
SFB,ACT
LNK,ACT
ROA,ACT
CLE,ACT
CMI,ACT
ELD,ACT
FFO,ACT
CNW,CNW
CAK,ACT
SAT,CNW
MSP,ACT
MSY,CNW
PAM,ACT
GNV,ACT
PIT,ACT
HMN,ACT
MDW,ACT
CMH,ACT
GRK,ACT
MCO,ACT
RFD,ACT
PNS,ACT
LEX,ACT
SBA,ACT
CAE,ACT
ELP,ACT
MOB,ACT
GRI,ACT
CID,ACT
JFK,ACT
ROC,ACT
CHS,ACT
YIP,ACT
BUF,ACT
YNG,ACT
IAD,CNW
CHA,ACT
ILG,ACT
CDC,ACT
DMA,ACT
FTW,ACT
AZA,ACT
PUW,ACT
HIK,ACT
ABE,ACT
SAF,ACT
EVV,ACT
BRO,ACT
DRT,ACT
ACT,ACT
BGR,THV
BWI,YUM
PHX,YUM
LAX,YUM
EKO,YUM
STL,YUM
LAS,YUM
SAN,YUM
FLG,YUM
YUM,YUM
HII,YUM
FLL,YUM
SEA,YUM
MSP,YUM
ABQ,YUM
ATL,YUM
JFK,YUM
ELP,YUM
GCK,YUM
BFI,YUM
DFW,YUM
OKC,YUM
LRD,YUM
ADS,YUM
TUS,YUM
LBL,YUM
DRT,YUM
YIP,YUM
AMA,YUM
SLN,YUM
DAL,YUM
MCI,YUM
SHV,YUM
IPL,YUM
GJT,YUM
SBA,YUM
SFO,YUM
ICT,YUM
CHS,YUM
HSV,YUM
FWA,YUM
BGR,YUM
TUL,YUM
MSY,YUM
POB,YUM
IND,YUM
BFL,YUM
SNA,YUM
DQF,YUM
HNL,YUM
OMA,YUM
ANC,YUM
COS,YUM
IAD,YUM
RNO,YUM
TCM,YUM
EUG,YUM
HIK,YUM
OAK,YUM
LIT,YUM
SJC,YUM
SBP,YUM
SLC,YUM
ACT,YUM
FAT,YUM
FWH,YUM
AZA,YUM
FSM,YUM
SFO,CAK
CMH,CAK
LGA,CAK
FWA,CAK
MDT,CAK
PIT,CAK
DSM,CAK
ROC,CAK
GRR,CAK
YNG,CAK
LAX,CAK
ABQ,CAK
DAY,CAK
EWR,CAK
TOL,CAK
DTW,CAK
ORD,CAK
ATL,CAK
CLE,CAK
CLT,CAK
LAS,CAK
GRB,CAK
CVG,CAK
GSO,CAK
PHL,CAK
ACY,CAK
ISO,CAK
IAD,CAK
TUS,CAK
TPA,CAK
ABE,CAK
TYS,CAK
AZO,CAK
STL,CAK
LEX,CAK
IND,CAK
SBN,CAK
TTN,CAK
MEM,CAK
MCO,CAK
IAH,CAK
BOS,CAK
FNT,CAK
DFW,CAK
ATW,CAK
BTV,CAK
MSP,CAK
BFF,CAK
DCA,CAK
OMA,CAK
RAP,CAK
SLC,CAK
RDU,CAK
LAN,CAK
BDL,CAK
SEA,CAK
BUF,CAK
MDW,CAK
CRW,CAK
BNA,CAK
MKE,CAK
MCI,CAK
PHX,CAK
MBS,CAK
LNK,CAK
JFK,CAK
AVP,CAK
ALB,CAK
LBF,CAK
SNA,CAK
EKO,CAK
MIA,CAK
YIP,CAK
SYR,CAK
BGM,CAK
SUS,CAK
ERI,CAK
JAX,CAK
RIC,CAK
PVD,CAK
BTL,CAK
ROA,CAK
PDK,CAK
BWI,CAK
RFD,CAK
DAL,CAK
GYY,CAK
BGR,CAK
ICT,CAK
GRI,CAK
LAF,CAK
MSN,CAK
RDG,CAK
LOZ,CAK
ITH,CAK
MHK,CAK
CHS,CAK
GSP,CAK
CID,CAK
ILG,CAK
SFB,CAK
LSE,CAK
TVC,CAK
SCE,CAK
FLL,CAK
CHO,CAK
MKG,CAK
HGR,CAK
MHT,CAK
MQT,CAK
SGF,CAK
LIT,CAK
ACT,CAK
CMI,CAK
MYR,CAK
OKC,CAK
NZC,CAK
CSG,CAK
SAT,CAK
UCA,CAK
RNO,CAK
PWM,CAK
FAY,CAK
OAK,CAK
YKM,CAK
SAV,CAK
TUL,CAK
CAK,CAK
JAN,CAK
RWI,CAK
XNA,CAK
POB,CAK
AGS,CAK
AVL,CAK
VLD,CAK
FLO,CAK
GPT,CAK
CAE,CAK
MSY,CAK
TCM,CAK
ELM,CAK
PDX,CAK
RCA,LTS
TUS,LTS
FCA,BTM
GEG,BTM
BIL,BTM
MSO,BTM
BZN,BTM
GTF,BTM
HLN,BTM
SLC,BTM
LWS,BTM
EKO,BTM
PDX,BTM
SEA,BTM
JAC,BTM
YIP,BTM
MSP,BTM
BLI,BTM
MKE,BTM
EUG,BTM
FAR,BTM
IDA,BTM
FAT,CIC
SNA,CIC
SMF,CIC
RDD,CIC
BFL,CIC
SFO,CIC
CEC,CIC
EKA,CIC
SJC,CIC
RDM,CIC
SEA,CIC
MIA,DOV
JFK,DOV
LCK,DOV
LRD,DOV
LAX,DOV
DSM,DOV
RDU,DOV
SFO,DOV
COS,DOV
MEM,DOV
HMN,DOV
HSV,DOV
CHS,DOV
SAT,DOV
CLT,DOV
ORD,DOV
PHL,DOV
DAY,DOV
TOL,DOV
BWI,DOV
ATL,DOV
GSO,DOV
AUS,DOV
DOV,DOV
MYR,DOV
LBB,DOV
CAE,DOV
NKX,DOV
YIP,DOV
EFD,DOV
EWR,DOV
SLC,DOV
DTW,DOV
PHX,DOV
LUF,DOV
LAN,DOV
CVS,DOV
DFW,DOV
HUF,DOV
BAD,DOV
SAN,DOV
LSV,DOV
TCM,DOV
BGR,DOV
TIK,DOV
AVP,DOV
ANC,DOV
ELP,DOV
JAN,DOV
CVG,DOV
PIT,DOV
ILN,DOV
IAD,DOV
MHR,DOV
TLH,DOV
CLE,DOV
EIL,DOV
SNA,FAR
BNA,FAR
PIT,FAR
MCO,FAR
PHX,FAR
SEA,FAR
GEG,FAR
HNL,FAR
BDL,FAR
LGA,FAR
ORD,FAR
DTW,FAR
SFO,FAR
SLC,FAR
CLE,FAR
BWI,FAR
ANC,FAR
PDX,FAR
LAS,FAR
MSP,FAR
FSD,FAR
GTF,FAR
GFK,FAR
DCA,FAR
IAD,FAR
MOT,FAR
BOS,FAR
TPA,FAR
DLH,FAR
CVG,FAR
MKE,FAR
SAN,FAR
BIL,FAR
BIS,FAR
MCI,FAR
GRR,FAR
AZO,FAR
RST,FAR
SMF,FAR
EKO,FAR
LNK,FAR
SUX,FAR
OMA,FAR
DAY,FAR
MEM,FAR
CMH,FAR
HOU,FAR
ABQ,FAR
LAX,FAR
EWR,FAR
RNO,FAR
ATL,FAR
MDW,FAR
BUF,FAR
DSM,FAR
MSN,FAR
SJC,FAR
FCA,FAR
FAI,FAR
RAP,FAR
PHL,FAR
MBS,FAR
CID,FAR
GRB,FAR
MSO,FAR
COS,FAR
CLT,FAR
PIA,FAR
DFW,FAR
MSY,FAR
IND,FAR
MIA,FAR
BZN,FAR
LSE,FAR
STL,FAR
YIP,FAR
IAH,FAR
ILN,FAR
SAT,FAR
JMS,FAR
ICT,FAR
SFB,FAR
FAR,FAR
ALB,FAR
LRD,FAR
AEX,FAR
HSV,FAR
BTV,FAR
OAK,FAR
OKC,FAR
TYS,FAR
BGR,FAR
FNT,FAR
MWA,FAR
CDC,FAR
BRD,FAR
RDU,FAR
SHV,FAR
RWI,FAR
KTN,FAR
SAV,FAR
GLH,FAR
EAU,FAR
MHK,FAR
GYY,FAR
EKI,FAR
VWL,FAR
LCK,FAR
LAN,FAR
SZL,FAR
BMI,FAR
XNA,FAR
RFD,FAR
CRW,FAR
FWA,FAR
DQF,FAR
ATW,FAR
FLL,FAR
ALO,FAR
HUF,FAR
YNG,FAR
SGF,FAR
HLN,FAR
AZA,FAR
BFI,FAR
LBB,FAR
LAR,FAR
BFL,FAR
MDT,FAR
LEX,FAR
CAK,FAR
LAN,FNT
JFK,FNT
DAY,FNT
EWR,FNT
BWI,FNT
LGA,FNT
ORD,FNT
DFW,FNT
MKG,FNT
CMH,FNT
AZO,FNT
PHL,FNT
GRR,FNT
PIT,FNT
DTW,FNT
DBQ,FNT
TVC,FNT
YIP,FNT
MBS,FNT
CLE,FNT
SAN,FNT
STL,FNT
FWA,FNT
MDW,FNT
MCO,FNT
CVG,FNT
MKE,FNT
FLL,FNT
DCA,FNT
ATL,FNT
ALB,FNT
TPA,FNT
CWA,FNT
ATW,FNT
ROA,FNT
ROC,FNT
MQT,FNT
EVV,FNT
DSM,FNT
PVD,FNT
YNG,FNT
MSP,FNT
RFD,FNT
CMI,FNT
MEM,FNT
MSN,FNT
MIA,FNT
BMI,FNT
LIT,FNT
LAS,FNT
BNA,FNT
SNA,FNT
CRW,FNT
ELP,FNT
CAK,FNT
ERI,FNT
CLT,FNT
SYR,FNT
OSH,FNT
GSP,FNT
GSO,FNT
BRO,FNT
IND,FNT
SBN,FNT
MCI,FNT
TYS,FNT
BUF,FNT
ELM,FNT
LRD,FNT
BOS,FNT
JAX,FNT
MOR,FNT
BGM,FNT
LEX,FNT
PWK,FNT
